original_address,original___parsed_extra,lat,lon,formatted,housenumber,name,street,district,suburb,postcode,city,confidence_city_level,county,state,confidence_street_level,country,country_code,confidence,attribution,attribution_license,attribution_url
"SZENT ISTVÁN TÉR 1.,"" SZÁZHALOMBATTA"",47.4291721,19.039385030122965,""Budapest, Szent István tér 1, 1221, Magyarország"",1,,Szent István tér,XXII. kerület,Budafok,1221,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"DÓZSA GY. ÚT 38.,"" KISKORÖS"",48.0318307,19.380855443208496,""Nógrádmarcal, Dózsa út 28, 2675, Magyarország"",28,,Dózsa út,,,2675,Nógrádmarcal,,Nógrád vármegye,Észak-Magyarország,,Magyarország,hu,0.4,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BERDA JÓZSEF UTCA 15.,"" BUDAPEST"",47.5562969,19.0845622,""Budapest, Berda József utca 15, 1043, Magyarország"",15,,Berda József utca,IV. kerület,Újpest,1043,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HRSZ.: 2007/1,"" VONYARCVASHEGY"",48.0163953,20.837984,""Mályi, Hrsz. 817, 3434, Magyarország"",,Hrsz. 817,Hrsz. 817,,Mályi-tó Üdülőterület,3434,Mályi,,Borsod-Abaúj-Zemplén vármegye,Észak-Magyarország,,Magyarország,hu,0.45,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HÁRSFA UTCA 3. SA3801,"" IHAROSBERÉNY"",47.718542,18.7455258,""Dorog, Hársfa utca 3, 2510, Magyarország"",3,,Hársfa utca,Baross Gábor lakótelep,Kolónia,2510,Dorog,,Komárom-Esztergom vármegye,Közép-Dunántúl,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PETOFI UTCA 2.,"" FEHÉRVÁRCSURGÓ"",46.076536,18.214278,""Pécs, Petőfi utca 2, 7624, Magyarország"",2,,Petőfi utca,Solidus Lakópark,Egyetemváros,7624,Pécs,,Baranya vármegye,Dél-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KAVICS UTCA 21.,"" BUDAPEST"",47.5206936,19.030425203161215,""Budapest, Kavics utca 21/a, 1025, Magyarország"",21/a,,Kavics utca,II. kerület,Szemlőhegy,1025,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KORÖSI CSOMA SÁNDOR UTCA 14.,"" BÉKÉS"",46.06451845,18.194108299520913,""Pécs, Kőrösi Csoma Sándor utca 14, 7633, Magyarország"",14,,Kőrösi Csoma Sándor utca,,Uránváros,7633,Pécs,,Baranya vármegye,Dél-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"THERMAL KRT. 24.,"" BÜKFÜRDO"",47.5077323,19.059364,""Generali Teréz krt. Ügyfélszolgálat, Budapest, Teréz körút 42-44, 1066, Magyarország"",42-44,Generali Teréz krt. Ügyfélszolgálat,Teréz körút,VI. kerület,Terézváros,1066,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0.29924999999999996,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MURAKÖZI U. 6/B,"" BUDAPEST"",47.5248827,19.0179081,""Budapest, Muraközi utca 6/b, 1025, Magyarország"",6/b,,Muraközi utca,II. kerület,Vérhalom,1025,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"GAZDAGRÉTI TÉR 2/A,"" BUDAPEST"",47.472178400000004,18.993681000139887,""Gazdagréti Szivárvány Óvoda, Budapest, Gazdagréti tér 2/A, 1118, Magyarország"",2/A,Gazdagréti Szivárvány Óvoda,Gazdagréti tér,XI. kerület,Gazdagrét,1118,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KINIZSI LAKÓTELEP 1,""2A,2B, DUNAHARASZTI"",46.37022665,17.78143529167912,""Kaposvár, Kinizsi lakótelep 1/b, 7400, Magyarország"",1/b,,Kinizsi lakótelep,Garázsváros,Kinizsi-lakótelep,7400,Kaposvár,,Somogy vármegye,Dél-Dunántúl,,Magyarország,hu,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZENTKIRÁLYI UTCA3.,"" BUDAPEST"",47.4891709,19.0668489,""Szentkirályi utca, Budapest, Baross utca, 1085, Magyarország"",,Szentkirályi utca,Baross utca,VIII. kerület,Palotanegyed,1085,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0.7200000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ORSZÁGBÍRÓ U. 47/A - JÁSZ U. 49.,"" BP."",,,,,,,,,,,,,,,,,,,,"
"HUNYADI TÉR 18.,"" NAGYBÖRZSÖNY"",47.1708509,19.5041402,""Pusztavacs, Hunyadi tér 18, 2378, Magyarország"",18,,Hunyadi tér,,,2378,Pusztavacs,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FÁY KÖZ 10.,"" BUDAPEST"",47.53504454,19.089321899999998,""Budapest, Fáy köz 10, 1135, Magyarország"",10,,Fáy köz,XIII. kerület,Angyalföld,1135,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KANONOK UTCA 1.,"" SZENTENDRE"",47.6667149,19.0741647,""Szentendre, Kanonok utca 1, 2000, Magyarország"",1,,Kanonok utca,Rózsakerti lakótelep,Bükköspart,2000,Szentendre,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"LEPKE UTCA 36.,"" BUDAPEST"",47.52082,19.00448781193217,""Budapest, Lepke utca 36, 1026, Magyarország"",36,,Lepke utca,II. kerület,Törökvész,1026,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RÉVAY UTCA 12.,"" BUDAPEST"",47.50161885,19.056245903748845,""12 Revay Hotel, Budapest, Révay utca 12, 1065, Magyarország"",12,12 Revay Hotel,Révay utca,VI. kerület,Terézváros,1065,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FILLÉR UTCA 52.,"" BUDAPEST"",47.51405475,19.01502057934349,""Budapest, Fillér utca 52, 1022, Magyarország"",52,,Fillér utca,II. kerület,Törökvész,1022,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ESZE TAMÁS UTCA 14.,"" ERCSI"",47.682539199999994,17.604124005977127,""Győr, Esze Tamás utca 14, 9025, Magyarország"",14,,Esze Tamás utca,,Szent Erzsébet-telep,9025,Győr,,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ZÖLD UTCA 2.,"" BUDAPEST"",47.6835291,19.0686746,""Szentendre, Zöld utca 2, 2000, Magyarország"",2,,Zöld utca,,Pismány,2000,Szentendre,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"GYÖRGY ALADÁR UTCA 25/B,"" BUDAPEST"",47.5097152,18.9870529,""Budapest, György Aladár utca 25/B, 1125, Magyarország"",25/B,,György Aladár utca,XII. kerület,Kútvölgy,1125,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FÁZIS UTCA 6.,"" BUDAPEST"",47.5323865,19.1403719,""Budapest, Fázis utca, 1158, Magyarország"",,Fázis utca,Fázis utca,XV. kerület,Újpalota,1158,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BIMBÓ UTCA 199/A,"" BUDAPEST"",48.1235342,20.6963386,""Miskolc, Bimbó utca, 3518, Magyarország"",,Bimbó utca,Bimbó utca,,Pereces,3518,Miskolc,,Borsod-Abaúj-Zemplén vármegye,Észak-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MUSKOTÁLY UTCA 17.,"" BUDAPEST"",47.4834541,19.02505379857605,""Budapest, Muskotály utca 17, 1118, Magyarország"",17,,Muskotály utca,XI. kerület,Sashegy,1118,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BIMBÓ UTCA 147.,"" BUDAPEST"",48.1235342,20.6963386,""Miskolc, Bimbó utca, 3518, Magyarország"",,Bimbó utca,Bimbó utca,,Pereces,3518,Miskolc,,Borsod-Abaúj-Zemplén vármegye,Észak-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"NAGYTÉTÉNYI ÚT 264.,"" BUDAPEST"",47.3932996,18.9891034,""Budapest, Nagytétényi út 264, 1225, Magyarország"",264,,Nagytétényi út,,Budafok,1225,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,1,,,"
"HUSZÁR UTCA 23. HRSZ.: 1689/186,"" POMÁZ"",,,,,,,,,,,,,,,,,,,,"
"ZÁSZLÓS UTCA 29-31.,"" BUDAPEST"",47.504475049999996,19.108925835432785,""Budapest, Zászlós utca 29-31, 1143, Magyarország"",29-31,,Zászlós utca,XIV. kerület,Törökőr,1143,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PUSZTASZERI ÚT 4.,"" BUDAPEST"",47.52807105,19.03146075,""Budapest, Pusztaszeri út 4, 1025, Magyarország"",4,,Pusztaszeri út,II. kerület,Újlak,1025,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZÉCHENYI ÚT 20.,"" BALATONFÜRED"",47.5417895,19.1179605,""Budapest, Széchenyi út 20, 1155, Magyarország"",20,,Széchenyi út,XV. kerület,Rákospalota,1155,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RÁKÓ UTCA 16.,"" BUDAPEST"",47.4799689,19.0091124,""Budapest, Rákó utca 16-20, 1112, Magyarország"",16-20,,Rákó utca,XI. kerület,Sasad,1112,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BUDAI ÚT 7/A,"" ÉRD"",47.6908569,17.648813759040358,""Győri Szeszgyár, Győr, Budai út 7/A, 9027, Magyarország"",7/A,Győri Szeszgyár,Budai út,,Városrét,9027,Győr,,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ANDRÁSSY ÚT 14.,"" BUDAPEST"",47.50175395,19.05763377210433,""Budapest, Andrássy út 14, 1061, Magyarország"",14,,Andrássy út,VI. kerület,Terézváros,1061,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FORGÁCH UTCA 30/B,"" BUDAPEST"",47.5378682,19.0791583,""Budapest, Forgách utca, 1139, Magyarország"",,Forgách utca,Forgách utca,XIII. kerület,Angyalföld,1139,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VIOLA UTCA 5.,"" BUDAPEST"",47.4787815,19.07457923111353,""Budapest, Viola utca 5, 1094, Magyarország"",5,,Viola utca,IX. kerület,Középső-Ferencváros,1094,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÖLGY UTCA 14.,"" BUDAPEST"",47.410585850000004,19.019101799999994,""Budapest, Völgy utca 14, 1223, Magyarország"",14,,Völgy utca,XXII. kerület,Budatétény,1223,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BUDAI ÚT 7.,"" ÉRD"",47.6159953,18.9198521,""Pilisvörösvár, Budai út 7, 2085, Magyarország"",7,,Budai út,Bányatelep,Papiföldek,2085,Pilisvörösvár,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"NYÁRFA UTCA 2/A,"" RAJKA"",46.0554075,18.225470950000002,""Pécs, Nyárfa utca 2/A, 7632, Magyarország"",2/A,,Nyárfa utca,Árnyasliget-lakópark,Kertváros,7632,Pécs,,Baranya vármegye,Dél-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ILOSVAI UTCA 11-13.,"" BUDAPEST"",47.5251031,19.1079279,""Budapest, Ilosvai Selymes utca 12, Magyarország"",12,,Ilosvai Selymes utca,,Herminamezo,,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0.63,,,"
"ÜLLOI ÚT 89/B,"" BUDAPEST"",47.4772248,19.0944375,""Budapest, Üllői út, 1089, Magyarország"",,Üllői út,Üllői út,VIII. kerület,Tisztviselőtelep,1089,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KÁPOLNA UTCA 25/A,"" BUDAPEST"",47.41719165,19.008651931213016,""Budapest, Kápolna utca 25/A, 1223, Magyarország"",25/A,,Kápolna utca,XXII. kerület,Budatétény,1223,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BEGÓNIA UTCA 10.,"" ÉRD"",47.5264057,19.2267651,""Budapest, Begónia utca, 1164, Magyarország"",,Begónia utca,Begónia utca,XVI. kerület,Cinkota,1164,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MÁTYÁS KIRÁLY ÚT 11.,"" SOLYMÁR"",47.9302504,21.0315539,""Tiszaújváros, Mátyás király út 11, 3580, Magyarország"",11,,Mátyás király út,,Kertváros,3580,Tiszaújváros,,Borsod-Abaúj-Zemplén vármegye,Észak-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MEZOKÖVESDI ÚT 10.,"" BUDAPEST"",47.8359359,20.4217527,""Andornaktálya, Mezőkövesdi út, 3399, Magyarország"",,Mezőkövesdi út,Mezőkövesdi út,,,3399,Andornaktálya,,Heves vármegye,Észak-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ROHONCI UTCA 3.,"" SZOMBATHELY"",47.3838085,16.549007320040893,""Kőszeg, Rohonci utca 3, 9730, Magyarország"",3,,Rohonci utca,,Ungarmarkt előváros,9730,Kőszeg,,Vas vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁCI ÚT 117-119.,"" BUDAPEST"",47.5445489,19.0719684,""Budapest Bank, Budapest, Váci út 117-119, 1138, Magyarország"",117-119,Budapest Bank,Váci út,XIII. kerület,Angyalföld,1138,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HRSZ.: 8683/324.,"" KECSKEMÉT"",48.018486,20.836652,""Hrsz. 767, Magyarország"",,,Hrsz. 767,,,,,,,,,Magyarország,hu,0.45,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HÁZGYÁRI ÚT 5.,"" VESZPRÉM"",47.11746105,17.893491349999998,""Nagy Út-21 Kft., Veszprém, Házgyári út 5, 8200, Magyarország"",5,Nagy Út-21 Kft.,Házgyári út,,Iparváros,8200,Veszprém,,Veszprém vármegye,Közép-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ANDRÁSSY UTCA 101.-BAJZA UTCA 31.,"" BP."",47.44035,19.360041,""Maglód, Andrássy utca, Magyarország"",,,Andrássy utca,,,,Maglód,,Pest,Közép-Magyarország,,Magyarország,hu,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PETOFI SÁNDOR UTCA 11.,"" BUDAPEST"",47.4942478,19.0544504,""Budapest, Petőfi Sándor utca 11, 1052, Magyarország"",11,,Petőfi Sándor utca,V. kerület,Pest,1052,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KIRÁLY UTCA 12.,"" BUDAPEST"",47.498612,19.0571728,""Budapest, Király utca 12, 1061, Magyarország"",12,,Király utca,VI. kerület,Terézváros,1061,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ÜLLOI ÚT 201.,"" BUDAPEST"",47.462886,19.1290272,""Magyar Posta, Budapest, Üllői út 201, 1704, Magyarország"",201,Magyar Posta,Üllői út,XIX. kerület,Kispest,1704,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"JÁSZ UTCA 55/A.,"" BUDAPEST"",47.531525599999995,19.083989824754926,""Budapest, Jász utca 55/A, 1135, Magyarország"",55/A,,Jász utca,XIII. kerület,Angyalföld,1135,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"EÖTVÖS UTCA 7.,"" BUDAPEST"",47.44746385,19.015639800000002,""Budapest, Eötvös utca 7, 1221, Magyarország"",7,,Eötvös utca,XXII. kerület,Budafok,1221,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FÁY UTCA 70.,"" BUDAPEST"",47.5349575,19.0850066,""Budapest, Fáy utca 70, 1135, Magyarország"",70,,Fáy utca,XIII. kerület,Angyalföld,1135,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VIZA UTCA 9-11.,"" BUDAPEST"",47.5298857,19.0575223,""Budapest, Viza utca, 1138, Magyarország"",,Viza utca,Viza utca,XIII. kerület,Vizafogó,1138,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÖKÉNYFÖLDI ÚT 106,"" BUDAPEST"",47.4955546,19.2279839,""Budapest, Bökényföldi út 106, Magyarország"",106,,Bökényföldi út,,Matiasfold,,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,1,,,"
"PADÁNYI TÉR 35/A.,"" NYERGESÚJFALU"",47.7581484,18.5610735,""Nyergesújfalu, Padányi tér 35/A, 2536, Magyarország"",35/A,,Padányi tér,,,2536,Nyergesújfalu,,Komárom-Esztergom vármegye,Közép-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KERTÉSZ UTCA 33.,"" BUDAPEST"",47.42263495,19.023107023288237,""Budapest, Kertész utca 33, 1222, Magyarország"",33,,Kertész utca,XXII. kerület,Budafok,1222,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MEDVE UTCA 25-29.,"" BUDAPEST"",47.5096984,19.0356787,""Budapest, Medve utca 27, 1027, Magyarország"",27,,Medve utca,,Varhegy,1027,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0.7,,,"
"KOMÁROMI UTCA 22.,"" BUDAÖRS"",47.60457775,19.36694325,""Gödöllő, Komáromi utca 22, 2100, Magyarország"",22,,Komáromi utca,Csanak,Kertváros,2100,Gödöllő,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"DOLGOS UTCA 11.,"" BUDAPEST"",47.49171065,19.0207217345339,""Budapest, Dolgos utca 11, 1126, Magyarország"",11,,Dolgos utca,XII. kerület,Németvölgy,1126,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁCI ÚT 47,"" BUDAPEST"",47.5285077,19.0653746,""Budapest, Váci út 47, 1134, Magyarország"",47,,Váci út,XIII. kerület,Angyalföld,1134,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
